Instructor,Rating,Would Take Again,Difficulty,Tags
Saman Yaghmaee,3.9/5,100%,2.2,"Lecture heavy, Tough grader, Get ready to read, Skip class? You won't pass., Gives good feedback"
Joel Yuen Zhou,3/5,42%,5,"Test heavy, Lots of homework, Tough grader, Lecture heavy, Accessible outside class"
Nisarg Shah,4.2/5,N/A,2.3,None
Andrew C Kummel,4/5,65%,3.5,"Hilarious, Amazing lectures, Test heavy, Get ready to read, Clear grading criteria"
Nicholas Samra,5/5,100%,1.9,"Inspirational, Caring, Participation matters, Respected, Accessible outside class"
Kristina Markman,4.4/5,82%,4.3,"Get ready to read, Amazing lectures, Participation matters, So many papers, Beware of pop quizzes"
Jesse Kim,3.5/5,100%,4.3,"Lots of homework, Clear grading criteria, Graded by few things, Tough grader, Test heavy"
Justin Kristoffer,2.4/5,50%,3.2,"Lecture heavy, Test heavy, Tough grader, Tests are tough, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Robert Scott Edwards,2.8/5,100%,3.6,"Skip class? You won't pass., Gives good feedback, Tough grader, Tests? Not many, Accessible outside class"
Aaron D,4.5/5,84%,3.4,"Amazing lectures, Caring, Inspirational, Group projects, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Yatish Girish,3/5,0%,4,Group projects
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Benjamin Grinstein,2.9/5,100%,4.1,"EXTRA CREDIT, Respected"
Matthew Leslie,5/5,100%,2,"Get ready to read, Hilarious, Caring"
Shruti Singh,N/A,N/A,N/A,
Hentyle T Yapp,3/5,100%,4,"Get ready to read, Gives good feedback, Caring"
Emily Ruth Troemel,3.4/5,67%,3,"Test heavy, Graded by few things, EXTRA CREDIT, Lecture heavy, Tough grader"
Ravi Siddharth Bajaj,3/5,100%,4,"Clear grading criteria, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Panchali Nag,N/A,N/A,N/A,
Eli Berman,2.8/5,32%,3.8,"Respected, Graded by few things, Tough grader, Participation matters, Skip class? You won't pass."
Timothy Luis Cabrer Nicholson-Shaw,5/5,N/A,1.5,None
Tajana Simunic Rosing,2.6/5,16%,4.5,"Test heavy, Tough grader, Lots of homework, Graded by few things, Get ready to read"
William Henry,3/5,N/A,3.6,"Get ready to read, Lecture heavy, Tough grader, Beware of pop quizzes, Participation matters"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Gairika Ghosh,2.1/5,40%,3.3,"Graded by few things, Participation matters, Get ready to read, Skip class? You won't pass., So many papers"
Andrew Gilmore Dickson,3.2/5,50%,3,"Hilarious, Respected, Lecture heavy"
Daniel Vallieres,4.7/5,90%,3.9,"Lots of homework, Gives good feedback, Caring, Accessible outside class, Lecture heavy"
Lillian B Walkover,3.4/5,100%,3.1,"Graded by few things, Tough grader, Get ready to read, Amazing lectures, Caring"
Haitian Xie,2.7/5,N/A,3,None
John T Wixted,4.4/5,67%,3.6,"Respected, Test heavy, Get ready to read, Amazing lectures, Graded by few things"
Guershon Harel,2.4/5,23%,4,"Lots of homework, Tough grader, Skip class? You won't pass., Lecture heavy, Test heavy"
Joel Christopher Watson,3.9/5,40%,3.9,"Would take again, Get ready to read, Clear grading criteria, Test heavy, Tough grader"
Zequn Zheng,2.6/5,42%,4.3,"Tough grader, Test heavy, Get ready to read, Amazing lectures, Lots of homework"
King James Britt,4.8/5,93%,1.8,"Respected, Amazing lectures, Inspirational, Participation matters, Caring"
Holly Okonkwo,4.1/5,N/A,2.3,Lecture heavy
Edward J. Watts,4.4/5,83%,3,"Amazing lectures, Get ready to read, Clear grading criteria, Hilarious, Participation matters"
Allison Nicole Lim,4.3/5,100%,2.1,"Hilarious, Caring, Amazing lectures, Clear grading criteria, Inspirational"
Veronica Aguila,1/5,N/A,5,None
LaGina Gause,3.9/5,84%,3.3,"Participation matters, Skip class? You won't pass., Get ready to read, Amazing lectures, Clear grading criteria"
Joo Kim,4.3/5,100%,2.1,"Participation matters, Group projects, Caring, Accessible outside class, Clear grading criteria"
Benjamin Appel,3.2/5,70%,3.7,"Beware of pop quizzes, Skip class? You won't pass., Lecture heavy, Get ready to read, Clear grading criteria"
Cheuk Ling Yu,2.1/5,12%,3.4,"Lecture heavy, Tough grader, Get ready to read, Participation matters, Skip class? You won't pass."
Joshua Daniel Davis,4.1/5,68%,3.3,"Group projects, Caring, EXTRA CREDIT, Lecture heavy, Test heavy"
Mohammad Kazim Ali,N/A,N/A,N/A,
Eric Geiger,5/5,N/A,1,None
Sharon Rose,4.9/5,N/A,2,None
Terry A. Wilson,4.6/5,80%,1.9,"Hilarious, Skip class? You won't pass., Inspirational, Caring, Lecture heavy"
Jose L. Pruneda-Paz,4.6/5,86%,3.3,"EXTRA CREDIT, Skip class? You won't pass., Amazing lectures, Clear grading criteria, Lecture heavy"
Julian I Schroeder,4.4/5,100%,3,"Lecture heavy, Caring, Respected, Test heavy, Graded by few things"
Johan Lars Perols,4.5/5,80%,4.1,"Caring, Test heavy, Tough grader, Gives good feedback, Inspirational"
Stephanie Lindsey,2.8/5,N/A,2.3,None
Tadeusz Molinski,1.8/5,0%,4.4,"Test heavy, Tough grader, Get ready to read, So many papers, Lecture heavy"
David K. Jordan,3.9/5,45%,3.3,"Get ready to read, Hilarious, Tough grader, Skip class? You won't pass., EXTRA CREDIT"
Emma Harlan Geller,3.8/5,77%,3.5,"Amazing lectures, Caring, Tough grader, Gives good feedback, Lots of homework"
Farinaz Koushanfar,1.6/5,34%,4.4,"Group projects, Tough grader, Gives good feedback, Lots of homework, Beware of pop quizzes"
Moira R.,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Rebecca Jo Plant,4.3/5,100%,3,"Amazing lectures, Caring, Respected, Accessible outside class, Get ready to read"
Eric Alexander Schmelz,2.3/5,100%,3.3,"Tough grader, Get ready to read, Gives good feedback, Respected"
Daniel Lars,5/5,100%,2.5,"Amazing lectures, Inspirational, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Oumelbanine Zhiri,3.5/5,100%,2,"Clear grading criteria, Amazing lectures"
Janis A. Jenkins,3.2/5,N/A,2.1,None
Philip A. Hastings,3.6/5,N/A,3.5,None
Wenyuan Fan,N/A,N/A,N/A,
Yue Nakayama,4.5/5,100%,3,"Get ready to read, Participation matters, Clear grading criteria, Gives good feedback, Caring"
Massimo Franceschetti,2.9/5,50%,4,"Test heavy, Tough grader, Graded by few things, Caring, Lecture heavy"
Troy Ii,3.4/5,73%,2.8,"Get ready to read, Lecture heavy, Graded by few things, Tough grader, Skip class? You won't pass."
Nicholle Narhi Wright,4.8/5,100%,3,"EXTRA CREDIT, Clear grading criteria, Gives good feedback, Accessible outside class"
Tara Javidi,3.5/5,100%,4.4,"Tough grader, Amazing lectures, Inspirational, Lots of homework, Hilarious"
Andreya Marie Perez Silva,5/5,100%,3,"Caring, Participation matters, EXTRA CREDIT, Amazing lectures, Accessible outside class"
Thomas W. Gallant,4.5/5,100%,2.6,"Amazing lectures, Beware of pop quizzes, Clear grading criteria, Hilarious, Skip class? You won't pass."
Shelley Adams Wright,1/5,0%,3.5,"Skip class? You won't pass., Tough grader, Test heavy, Graded by few things"
Rakesh Kumar,N/A,N/A,N/A,
William Geibel,4/5,100%,3,Amazing lectures
Zachary Brandon Haiman,5.3/5,92%,3.6,"Clear grading criteria, Graded by few things, Amazing lectures, Respected, Test heavy"
Lara M Rangel,5/5,95%,3.8,"EXTRA CREDIT, Caring, Amazing lectures, Inspirational, Clear grading criteria"
Gerald Allen Gilmore,3.6/5,75%,3,"Tough grader, Graded by few things, Get ready to read, Hilarious, Skip class? You won't pass."
Sorin Lerner,4.5/5,100%,3.1,"Amazing lectures, Hilarious, Inspirational, Respected, Skip class? You won't pass."
Duygu Kuzum,4.4/5,100%,3.8,"Get ready to read, Participation matters, Clear grading criteria, Inspirational, Caring"
Tal Golan,3.4/5,100%,2.9,"Amazing lectures, Inspirational, Respected, Lecture heavy, Get ready to read"
Brianna Rachelle,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Benjamin Nathan,4.1/5,100%,2.6,"Amazing lectures, Graded by few things, Respected, Lecture heavy, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Claudi Brink,3.4/5,80%,2.9,"Get ready to read, Clear grading criteria, Gives good feedback, Accessible outside class, Caring"
P Muller,3.2/5,100%,3.1,"Tough grader, Skip class? You won't pass., Tests are tough, Tests? Not many, Get ready to read"
Azita Mokhtari,2.5/5,0%,4.3,"Tough grader, Lots of homework"
Brian Keating,3/5,100%,2.9,"Skip class? You won't pass., Gives good feedback, Caring, Graded by few things, Get ready to read"
Kim F. Albizati,4.2/5,75%,3.3,"Amazing lectures, Respected, Test heavy, Graded by few things, Skip class? You won't pass."
Isaac Artenstein,4.2/5,N/A,2.3,None
Chuchu Li,N/A,N/A,N/A,
Brittany Alexandra Lee,4.9/5,88%,2.8,"Accessible outside class, Gives good feedback, Caring, Tough grader, Clear grading criteria"
Michael J Holst,4.4/5,100%,3,"Clear grading criteria, Gives good feedback, Inspirational, Caring, Respected"
Victor Valentine Magagna,3/5,N/A,3,None
Angela B,3.3/5,34%,3.3,"Lecture heavy, Tough grader, Get ready to read, Skip class? You won't pass., Group projects"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Andrea Chiba,5/5,90%,3,"Inspirational, Caring, Amazing lectures, Hilarious, Group projects"
Francesco Fazio,1/5,N/A,3,None
Anthony Lince,5/5,100%,3,"Gives good feedback, Caring, Clear grading criteria, Accessible outside class, Participation matters"
Craig A Eberhard,2.8/5,52%,3.9,"Tough grader, Skip class? You won't pass., Graded by few things, Test heavy, Participation matters"
Chloe Noelle,5/5,100%,1.5,"EXTRA CREDIT, Group projects, Amazing lectures, Gives good feedback, Inspirational"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
James Thomas Upton,3.4/5,72%,3.3,"Caring, Accessible outside class, Skip class? You won't pass., Clear grading criteria, Lecture heavy"
Monica W,4.7/5,N/A,2.1,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Pamela Karen Smith,4.5/5,N/A,2,None
George Robert,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Karl G. Gerth,2/5,0%,4,"Get ready to read, Participation matters, Tough grader, Clear grading criteria, Lots of homework"
James T.,3.6/5,64%,3.8,"Skip class? You won't pass., Get ready to read, Amazing lectures, Lots of homework, Test heavy"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Maria Carolina,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Sanjoy Dasgupta,4.6/5,100%,3.3,"Amazing lectures, Respected, Inspirational, Clear grading criteria, Lots of homework"
Keith Long McCleary,4.3/5,100%,1.9,"Get ready to read, Clear grading criteria, Tests? Not many, Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Olivia Arlene Quintanilla,3.8/5,84%,3.4,"Participation matters, Get ready to read, Skip class? You won't pass., Clear grading criteria, Gives good feedback"
Mary E. T. Boyle,4.5/5,52%,4,"Get ready to read, EXTRA CREDIT, Lots of homework, Tough grader, Hilarious"
Jorge Omar Ramirez Pimienta,4.5/5,100%,3.5,"Get ready to read, Participation matters, Gives good feedback, Respected, Lecture heavy"
Mariana Razo Wardwell,3.1/5,50%,3.2,"Caring, Get ready to read, Lecture heavy"
Bianca M. Brahamsha,N/A,N/A,N/A,
Maximilian Victor Edwards,4/5,N/A,2.7,None
Ethan Scott,1.7/5,N/A,4,"Tough grader, Get ready to read, Participation matters, Tests are tough"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jeremiah Jeffrey,3.6/5,86%,4,"Lecture heavy, Tough grader, Caring, Graded by few things, Accessible outside class"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Matthew D Dewey,3.5/5,46%,3.1,"Beware of pop quizzes, Tough grader, Get ready to read, Participation matters, Caring"
Christine M. Johnson,5/5,86%,3.8,"Amazing lectures, EXTRA CREDIT, Test heavy, Lecture heavy, Skip class? You won't pass."
Austin Avery Coley,3.8/5,67%,3.5,"Get ready to read, Tough grader, Lecture heavy, Participation matters, Skip class? You won't pass."
Yingjun Cao,5/5,82%,3.8,"Respected, Lots of homework, Caring, Amazing lectures, Participation matters"
Marianinna Villavicencio Miranda,5/5,100%,4,"Participation matters, Caring, Accessible outside class"
Andrea Zelaya,1/5,0%,2,"Lots of homework, So many papers, Lecture heavy"
Denise Rava,3/5,69%,3.4,"Lots of homework, Tough grader, Test heavy, Clear grading criteria, Graded by few things"
Carla Irina,2/5,100%,4,"Tough grader, Get ready to read, EXTRA CREDIT, Gives good feedback, Lots of homework"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Imani N. S. Munyaka,1/5,N/A,3,Graded by few things
Antony J. Lyon,4.2/5,86%,3.3,"Get ready to read, Amazing lectures, Respected, Lecture heavy, Tough grader"
Weijing Lu,3.3/5,75%,3.9,"Get ready to read, Beware of pop quizzes, Tough grader, Participation matters, Skip class? You won't pass."
Emanuel Ignacio Vespa,2/5,43%,3.9,"Test heavy, Tough grader, Skip class? You won't pass., Lecture heavy, Get ready to read"
Bernhard O. Palsson,N/A,N/A,N/A,
Michael Yip,4.5/5,N/A,2,None
Dmitry Evgenievich,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jarryd Thomas Willis,4/5,72%,2.2,"EXTRA CREDIT, Hilarious, Amazing lectures, Lecture heavy, Skip class? You won't pass."
Susan Peerson,2/5,0%,3,"Group projects, Gives good feedback"
Yolande Snaith,4.1/5,100%,3.2,"Participation matters, Gives good feedback, Caring, Skip class? You won't pass., Group projects"
Alina M Schimpf,4.5/5,100%,3.3,"Participation matters, Caring, Accessible outside class, Amazing lectures, EXTRA CREDIT"
Emily N Grossman,4.9/5,82%,3.4,"EXTRA CREDIT, Caring, Clear grading criteria, Participation matters, Gives good feedback"
Karen Adee Raphaeli,4.3/5,84%,3.3,"Get ready to read, Lots of homework, Participation matters, Caring, Tough grader"
Christopher August Kuhl,N/A,N/A,N/A,
Andrew W Devereux,4.3/5,50%,3.3,"Get ready to read, Tough grader, Gives good feedback, Participation matters, Amazing lectures"
Vanessa Stalling,4.3/5,64%,4,"Test heavy, Accessible outside class, Caring, Tough grader, Clear grading criteria"
Kenneth A. Zeger,3.9/5,63%,5,"Tough grader, Test heavy, Graded by few things, Amazing lectures, Respected"
Ronghui Xu,3.4/5,67%,3.1,"Skip class? You won't pass., EXTRA CREDIT, Would take again, Test heavy"
Huihui Qi,4.6/5,86%,3.1,"Caring, Amazing lectures, Lots of homework, EXTRA CREDIT, Respected"
Terry Lynne Jernigan,2.5/5,67%,2.6,"EXTRA CREDIT, Clear grading criteria, Respected, Test heavy, Graded by few things"
Ivano Caponigro,4.8/5,75%,2.5,"Lecture heavy, Accessible outside class, Tough grader, Clear grading criteria, Hilarious"
Alireza Salehi Golsefidy,4.3/5,79%,3.3,"Amazing lectures, Caring, Respected, Clear grading criteria, Lots of homework"
Michael David Jones,4/5,100%,3,"Skip class? You won't pass., Clear grading criteria, Lecture heavy"
Curt Schurgers,3.9/5,77%,4.1,"Caring, Skip class? You won't pass., Tough grader, Accessible outside class, Amazing lectures"
Leila Marie Whitley,4.5/5,100%,2.9,"Get ready to read, Amazing lectures, Gives good feedback, Caring, Participation matters"
Nicoletta Maria,4.8/5,100%,2.4,"Gives good feedback, Hilarious, Caring, Skip class? You won't pass., Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Angelica L,5/5,84%,3.5,"Clear grading criteria, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Anastasia Kiyonaga,4.6/5,78%,2.3,"Clear grading criteria, Get ready to read, EXTRA CREDIT, Caring, Amazing lectures"
Joshua Figueroa,3.1/5,23%,3.5,"Tough grader, Skip class? You won't pass., Inspirational, Graded by few things, Amazing lectures"
Kenneth C Wilbur,2.1/5,100%,3.8,"Tough grader, Group projects, Get ready to read, Participation matters, Lecture heavy"
Dragos N. Oprea,4.5/5,100%,2.9,"Inspirational, Respected, Caring, Skip class? You won't pass., Amazing lectures"
Edwin Teddy Cruz,2.9/5,80%,1.9,"Inspirational, Group projects, Amazing lectures, Caring, Respected"
Maralee Mae Harrell,2.9/5,0%,3.2,"Skip class? You won't pass., Lots of homework"
Laurie Smith,3.6/5,20%,3,"Get ready to read, Tough grader, Skip class? You won't pass., Participation matters, Would take again"
Jacob Sterbenz,3.3/5,52%,3.4,"Lots of homework, Test heavy, Tough grader, Graded by few things, Get ready to read"
Andrea Rae Tao,2.8/5,N/A,4.1,"Would take again, Gives good feedback, Lots of homework"
Joshua P Swanson,2.4/5,26%,4.3,"Test heavy, Tough grader, Skip class? You won't pass., Lecture heavy, Amazing lectures"
Maziar Ghazinejad,5/5,100%,3.3,"Caring, Accessible outside class, Inspirational, Respected, Amazing lectures"
Alexey Arefiev,3/5,100%,2.9,"Clear grading criteria, Test heavy, Participation matters, Gives good feedback, Lecture heavy"
Junko Tokuda Simpson,4/5,75%,2.2,"Gives good feedback, Caring, Participation matters, Skip class? You won't pass., Amazing lectures"
Geoffrey Scott West,4.3/5,93%,3,"Get ready to read, EXTRA CREDIT, Amazing lectures, Lecture heavy, Respected"
Brandon Alberts,2.8/5,38%,4.5,"Lots of homework, Test heavy, Clear grading criteria, Get ready to read, Amazing lectures"
Deborah Yelon,3.8/5,34%,3.7,"Tough grader, Lecture heavy, Skip class? You won't pass., EXTRA CREDIT, Respected"
Julia Rose Moncur,4.5/5,90%,3,"Amazing lectures, Graded by few things, Get ready to read, Lecture heavy, Tough grader"
Shabnam Jandaghi,FAILED SEARCH,FAILED SEARCH,FAILED SEARCH,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Elham Izadi,2.2/5,N/A,4.4,Tough grader
Fernando Dominguez Rubio,2.5/5,40%,4.1,"Tough grader, Get ready to read, Graded by few things, Skip class? You won't pass., Amazing lectures"
Brian Campbell-Deem,4.3/5,72%,2.8,"EXTRA CREDIT, Lecture heavy, Graded by few things, Respected, Tough grader"
Erica Cho,2/5,60%,3.5,"Tough grader, Group projects, Lots of homework, Lecture heavy, Skip class? You won't pass."
Matthew David Howland,2/5,0%,3,"Get ready to read, EXTRA CREDIT"
John C. Petterson,4/5,60%,3.3,"Get ready to read, So many papers, Respected, Participation matters, Gives good feedback"
Patricia I Martins Marcos,2.9/5,N/A,1.9,None
Jiangchuanhai Wang,4.1/5,100%,2.8,"Amazing lectures, Clear grading criteria, Accessible outside class"
Barna Saha,3.4/5,100%,3,"Lots of homework, Lecture heavy, Tough grader, EXTRA CREDIT, Amazing lectures"
Andrew D. Meyertholen,5/5,100%,3.5,"Amazing lectures, Caring, Respected, Hilarious, Clear grading criteria"
Valerie A Ramey,3.9/5,49%,3.4,"Tough grader, Test heavy, Amazing lectures, Respected, Graded by few things"
Philip J Guo,4.3/5,86%,2.9,"Group projects, Participation matters, Lots of homework, Caring, Gives good feedback"
Matthew Lawrence Ehrlich,5/5,91%,2.8,"Amazing lectures, Participation matters, EXTRA CREDIT, Inspirational, Caring"
Nathan L Moeder,N/A,N/A,N/A,
Kim Rubinstein,3.8/5,50%,3.5,"Inspirational, Hilarious, Clear grading criteria, Tests? Not many, Would take again"
